account_id,user_id,account_name,account_type,current_balance,created_at
c83d7cb5-a30b-458d-b360-6cc22fb06304,bba64a3b-7d90-4be1-9ad9-026801b99f11,SBI Savings,savings,19626.99,2024-12-01 10:00:00+05:30
45b18c64-2752-45b6-af3d-b2df1b1b1379,bba64a3b-7d90-4be1-9ad9-026801b99f11,Union Bank Savings,savings,19563.27,2024-12-01 10:00:00+05:30
f22ce1ad-508d-454f-a74b-93a7d3ad2268,bba64a3b-7d90-4be1-9ad9-026801b99f11,GPay Balance,wallet,11110.02,2024-12-01 10:00:00+05:30
e49107ad-1864-4b6e-b2e0-213bd4f5eff6,bba64a3b-7d90-4be1-9ad9-026801b99f11,IndusInd Bank Investment,investment,35255.69,2024-12-01 10:00:00+05:30
c27c9006-3f8d-4be9-8ac9-fb0c91f3a2ce,bc988342-1383-4a29-b7af-23d779e4f7ec,SBI Savings,savings,89154.15,2024-12-01 10:00:00+05:30
0e83c0d7-fb5a-4591-b688-27b2274ce752,bc988342-1383-4a29-b7af-23d779e4f7ec,IndusInd Bank Savings,savings,35907.34,2024-12-01 10:00:00+05:30
421fe716-fa60-43a4-8540-ab0814d10c12,bc988342-1383-4a29-b7af-23d779e4f7ec,Axis Bank Investment,investment,477936.71,2024-12-01 10:00:00+05:30
38873681-8777-4da4-b764-8d6fdbb4b9bf,bc988342-1383-4a29-b7af-23d779e4f7ec,ICICI Bank Credit Card,credit_card,-41803.67,2024-12-01 10:00:00+05:30
a0cda2f5-5cf7-4156-9785-fe191146f110,bc988342-1383-4a29-b7af-23d779e4f7ec,SBI Current,checking,22554.21,2024-12-01 10:00:00+05:30
2836f6f0-4602-4887-a26f-1b7120bf1e48,b2e67456-ae78-4a7d-b17c-e280b8b211cb,Yes Bank Savings,savings,154694.93,2024-12-01 10:00:00+05:30
3d599191-5b72-42d1-826e-e0f9fc96c54b,b2e67456-ae78-4a7d-b17c-e280b8b211cb,Paytm Wallet,wallet,4412.67,2024-12-01 10:00:00+05:30
850e54e9-1726-4107-8c31-7ca43a5437bb,b2e67456-ae78-4a7d-b17c-e280b8b211cb,ICICI Bank Savings,savings,118179.87,2024-12-01 10:00:00+05:30
4b10857f-801d-4b40-ba04-19b0e81cdeb4,b2e67456-ae78-4a7d-b17c-e280b8b211cb,SBI Investment,investment,109748.76,2024-12-01 10:00:00+05:30
bcc01b69-1eae-469b-bbec-841d9f783f31,3fda265f-68c3-4ce0-9553-1ba65baa4d75,SBI Savings,savings,82590.74,2024-12-01 10:00:00+05:30
35f03a2b-9e24-4f28-a87a-4e3f9a520e93,3fda265f-68c3-4ce0-9553-1ba65baa4d75,IndusInd Bank Investment,investment,337152.36,2024-12-01 10:00:00+05:30
fb9af688-a534-412a-b506-cb3bd5939f8e,3fda265f-68c3-4ce0-9553-1ba65baa4d75,PNB Credit Card,credit_card,-19163.75,2024-12-01 10:00:00+05:30
6547924d-bce9-45f0-82cd-60f6888b1578,f98fe819-1be6-4325-972b-a4401aceaed6,Axis Bank Savings,savings,31212.5,2024-12-01 10:00:00+05:30
21b8b7d3-dfea-4cf6-83a7-fcafd08e951a,f98fe819-1be6-4325-972b-a4401aceaed6,GPay Balance,wallet,14557.81,2024-12-01 10:00:00+05:30
3244ee49-0d93-4cb0-bc57-8c334733aa6c,f98fe819-1be6-4325-972b-a4401aceaed6,ICICI Bank Investment,investment,331875.12,2024-12-01 10:00:00+05:30
16536c8d-42b7-4714-9dae-ffd61f064936,f98fe819-1be6-4325-972b-a4401aceaed6,ICICI Bank Current,checking,6318.21,2024-12-01 10:00:00+05:30
f71801fc-d02b-4965-9b30-50c257088737,76d20039-a7e2-46e9-aa21-456f910c717d,SBI Savings,savings,144711.82,2024-12-01 10:00:00+05:30
7c0315a1-3126-451a-b349-ded8a83ff8c7,76d20039-a7e2-46e9-aa21-456f910c717d,ICICI Bank Investment,investment,212615.92,2024-12-01 10:00:00+05:30
2f52fd6b-751a-417e-8223-833318c4ccaf,76d20039-a7e2-46e9-aa21-456f910c717d,ICICI Bank Savings,savings,35232.26,2024-12-01 10:00:00+05:30
