test_month,user_id,actual,predicted,error,abs_error,ape
2025-12-01,60a935cd-f7cb-40df-92b7-2746b4a8058b,29909.43,34386.639145883,4477.209145882996,4477.209145882996,0.1496922256921311
2025-12-01,958b2a52-d1ea-4696-9f2d-09c5e90c5d24,28150.0,26472.968123789942,-1677.0318762100578,1677.0318762100578,0.05957484462557932
2026-01-01,60a935cd-f7cb-40df-92b7-2746b4a8058b,32584.0,33461.88603136602,877.8860313660189,877.8860313660189,0.026942242553585162
2026-01-01,958b2a52-d1ea-4696-9f2d-09c5e90c5d24,26193.0,26440.158615180375,247.1586151803749,247.1586151803749,0.009436056014216581
2026-02-01,60a935cd-f7cb-40df-92b7-2746b4a8058b,46864.09,33584.19454795933,-13279.89545204067,13279.89545204067,0.28337038982386453
2026-02-01,958b2a52-d1ea-4696-9f2d-09c5e90c5d24,32028.0,26145.3612576054,-5882.6387423946,5882.6387423946,0.1836717479204009
2026-03-01,60a935cd-f7cb-40df-92b7-2746b4a8058b,68086.59,39912.80088663974,-28173.789113360253,28173.789113360253,0.4137935107832578
2026-03-01,958b2a52-d1ea-4696-9f2d-09c5e90c5d24,32024.0,28236.46507052881,-3787.5349294711887,3787.5349294711887,0.1182717627239317
2026-04-01,60a935cd-f7cb-40df-92b7-2746b4a8058b,31124.4,50660.16124829124,19535.761248291237,19535.761248291237,0.6276670794711299
2026-04-01,958b2a52-d1ea-4696-9f2d-09c5e90c5d24,28906.0,31743.071429049214,2837.071429049214,2837.071429049214,0.0981481847730303
2026-05-01,60a935cd-f7cb-40df-92b7-2746b4a8058b,30808.010000000002,46673.51590145253,15865.505901452525,15865.505901452525,0.5149798997550482
2026-05-01,958b2a52-d1ea-4696-9f2d-09c5e90c5d24,26073.0,30825.71330538163,4752.713305381629,4752.713305381629,0.1822848657761527
