user_id,account_id,reference_id,date,amount,transaction_type,currency,merchant_name,payment_mode,initial_balance,tags,remark
usr_1723fa55,acc_kotak_e4fb97,TXN2F90A796FF90,2025-01-01,138527.47,credit,INR,Employer NEFT,NEFT,121838.9,Income::Salary,referral bonus
usr_1723fa55,acc_hdfc_0a7d00,TXN16667A912B4C,2025-01-01,17961.68,debit,INR,Air India,card,-97937.62,Transportation::Flight & Train,office commute
usr_1723fa55,acc_kotak_e4fb97,TXNB4471EF40857,2025-01-01,27935.05,debit,INR,Local Bookshop,cash,100614.31,Shopping::Books & Stationery,anniversary
usr_1723fa55,acc_hdfc_0a7d00,TXN672F89FFA8C5,2025-01-01,12096.35,debit,INR,Mamaearth,UPI,-305519.32,Shopping::Personal Care,
usr_1723fa55,acc_hdfc_0a7d00,TXN9F89D6D9AE7F,2025-01-01,106973.74,debit,INR,SBI CC Bill,NEFT,-317615.67,Financial Expenses::Credit Card Bill,monthly EMI
usr_1723fa55,acc_hdfc_0a7d00,TXN3AC6261F4A9F,2025-01-02,47700.0,debit,INR,Landlord NEFT,NEFT,75505.75,Housing::Rent,monthly rent
usr_1723fa55,acc_kotak_e4fb97,TXN40F30E4F093B,2025-01-03,129.0,debit,INR,YouTube Premium,UPI,259352.16,Life & Entertainment::Subscriptions,
usr_1723fa55,acc_icici_4df757,TXNF5347EE4B86A,2025-01-03,3449.27,debit,INR,Monginis,cash,-233600.06,Food & Drinks::Bakery & Snacks,client dinner
usr_1723fa55,acc_kotak_e4fb97,TXN6A99E1E83C83,2025-01-04,5435.5,debit,INR,Ajio,UPI,233745.6,Shopping::Clothing & Apparel,
usr_1723fa55,acc_kotak_e4fb97,TXNB39D5C990313,2025-01-05,661.37,debit,INR,MakeMyTrip,card,234406.97,Life & Entertainment::Travel & Hotels,family outing
usr_1723fa55,acc_icici_4df757,TXND9229E9121C1,2025-01-05,17977.52,debit,INR,Amazon Gift,UPI,-107213.64,Life & Entertainment::Gifting,
usr_1723fa55,acc_hdfc_0a7d00,TXNDCDBAE8F818F,2025-01-06,499.0,debit,INR,Airtel,UPI,27805.75,Life & Entertainment::Subscriptions,
